transaction_id,user_id,product_id,date,quantity,total_amount,payment_method
4f5d93f1-12ee-447f-9895-6bedbe48c6bf,,,2024-03-05 20:29:00,7,,Cash
e8edef32-034d-404f-a693-f73a7ae36277,8.0,4.0,2024-07-03 09:54:50,1,,PayPal
dc69c0fc-0cf2-4db4-a8cf-97b5e2f93b2e,2.0,14.0,2024-09-29 17:17:59,2,1999.98,Cash
a59db4fe-425d-4b8b-a17a-3907dee1e41d,3.0,9.0,2024-05-01 09:47:04,1,64.0,Credit Card
8a28766a-554a-44ee-bd73-31695e7bef7b,4.0,2.0,2024-05-06 07:37:51,6,133.8,PayPal
3f40d81b-3644-431f-833c-1949fd0ad595,9.0,3.0,2024-08-31 04:27:15,3,167.97,Cash
68d334d3-037f-4c4d-84c3-d88c53fc1c9c,1.0,5.0,2024-11-18 20:21:28,4,2780.0,Credit Card
6c567dee-2a5b-4c6b-b657-4d06e8866299,8.0,14.0,2024-05-09 16:17:48,4,3999.96,Credit Card
7c5815d1-2c0c-45e2-84c4-297ffc1d1908,9.0,12.0,2024-02-27 17:35:03,5,570.0,Cash
ce78372f-690b-4ab1-bba5-134713e548f2,1.0,10.0,2024-01-14 02:05:27,1,109.0,Credit Card
19feff72-3c2f-4674-a6f4-465bfa2f0b86,3.0,9.0,2024-03-29 03:30:42,6,384.0,Cash
6a70b686-c757-4662-b678-e52115cbf6fb,,,2024-06-22 10:18:00,3,,Cash
13eb6dcc-812f-4b60-903e-124121f4a803,8.0,15.0,2024-04-12 01:24:43,8,455.92,PayPal
aaa771e4-b777-4280-8532-3eacbb1314c8,7.0,1.0,2024-03-05 10:32:58,10,1099.5,Credit Card
99508c6e-5357-47b0-916d-4f54cae7cbd1,6.0,20.0,2024-05-26 18:52:46,1,12.99,Cash
6b96c196-62fe-4439-bb74-c7db1b8ed7a5,8.0,3.0,2024-11-04 04:27:17,10,559.9,PayPal
61f59b4b-2041-4bde-b83b-25a348ff9797,,,2024-07-13 10:43:01,10,,Cash
b399c070-a816-490f-8d0e-d0ff2dd5d39b,1.0,14.0,2024-06-15 23:48:32,9,8999.91,PayPal
1a947368-5a75-43ec-9076-c86525ea6625,3.0,4.0,2024-03-22 16:37:48,7,,PayPal
76e36fa5-ce48-48f8-8930-5c1a69d8dba5,6.0,18.0,2024-09-24 06:22:34,1,9.85,Credit Card
65653e08-3321-4e32-ab48-7483f1a2f339,10.0,9.0,2024-05-06 07:29:33,7,448.0,Cash
c1e02f8b-cca0-4777-9ee5-e35e1f451651,10.0,15.0,2024-10-27 11:49:03,2,113.98,Cash
80fed925-ac27-4ef4-bd4a-f00f7b942f71,6.0,1.0,2024-07-08 10:36:22,8,879.6,PayPal
c7dc5ed1-7a87-4115-86f4-7c08da58b408,7.0,18.0,2024-03-11 05:36:46,10,98.5,PayPal
767cfd3a-7019-419b-925e-3eb3177c856b,8.0,10.0,2024-03-18 06:49:42,8,872.0,Cash
1cee3efe-bf61-41a1-8d9b-12249319ff4b,2.0,16.0,2024-09-04 16:49:21,2,59.9,Credit Card
bdc606c0-222a-49f4-9f55-ca7641787ba0,1.0,7.0,2024-09-04 04:05:44,4,39.96,Cash
ed89b00c-f6c9-40aa-b479-c33fdd998127,8.0,9.0,2024-02-12 16:29:18,7,448.0,Cash
714502cd-5ec1-4b6e-8256-676d0fe6f57a,2.0,18.0,2024-11-08 14:14:44,6,59.1,Credit Card
1757a9ef-eb4c-4427-a48e-224fb4eb0a29,8.0,9.0,2024-01-09 03:00:15,9,576.0,PayPal
44646a26-a364-4782-a1a9-538c44975d14,7.0,12.0,2024-11-01 19:44:23,3,342.0,Credit Card
07212043-bc4f-44a8-861a-aed6362974f7,3.0,14.0,2024-08-17 15:15:00,10,9999.9,Credit Card
10a484b3-9b09-47f2-86e0-d3a3bd46ffd7,,,2024-06-29 18:16:47,8,,PayPal
13c7d871-40b6-4a18-a33b-d7812c06a3ed,2.0,17.0,2024-06-09 21:15:20,3,119.97,Cash
80515f4e-b0bb-45a2-8c47-e6bc73659450,4.0,2.0,2024-01-20 22:49:50,5,111.5,Credit Card
29f72394-f11d-4b52-9505-431f5f3f78b6,1.0,13.0,2024-07-18 23:26:38,2,1198.0,Cash
cc607223-0f0e-4744-9f03-da137730e0cc,1.0,13.0,2024-11-09 09:14:58,8,4792.0,Cash
aa22d437-4cdf-4145-b78d-853f15754014,4.0,12.0,2024-03-08 14:41:38,5,570.0,Credit Card
05456691-ddd9-44e6-8393-ffdb583487cf,8.0,1.0,2024-02-29 06:26:11,2,219.9,Cash
87eafa4e-0000-4532-a16d-85a57328bef7,5.0,17.0,2024-04-02 21:50:29,9,359.91,Credit Card
f990e5f7-08ad-4995-ab4d-f5b894b1cc38,2.0,10.0,2024-05-10 18:39:36,7,763.0,Cash
339437b8-2fc4-4b7a-837c-7935cb1d7e19,8.0,18.0,2024-09-26 05:40:52,2,19.7,Cash
0ebb0217-14b4-49e8-ade8-11a2fc5a49e9,6.0,4.0,2024-07-10 23:57:12,10,,Cash
4e9ef597-e0d7-4531-9cc3-45b7ee771474,4.0,12.0,2024-09-18 23:54:49,5,570.0,Cash
4d72735b-efe9-41fc-8ac0-7929519e6da2,3.0,2.0,2024-07-02 01:17:41,2,44.6,PayPal
ece19d81-fc8f-4279-97bd-d45daa15db9c,7.0,14.0,2024-07-16 11:53:25,1,999.99,Credit Card
a8576268-c513-4df0-99d4-57b7473915c0,3.0,11.0,2024-08-31 19:42:04,7,,Credit Card
7ab7c0fd-f9d8-4fff-8429-125178ea610e,4.0,19.0,2024-02-20 14:14:25,5,39.75,PayPal
c0ade698-d6b9-4df3-8593-2bfd33acb08b,8.0,11.0,2024-03-05 08:44:33,9,,Cash
74a7ddba-cec1-4616-91b2-a69e94a50b1e,10.0,11.0,2024-07-23 19:09:09,6,,Cash
9649eaf6-49aa-4afd-a15a-ac86435c407f,7.0,12.0,2024-05-28 14:12:31,6,684.0,PayPal
71c17a9a-2296-4722-b7eb-177453d7e98c,7.0,2.0,2024-04-21 10:10:25,1,22.3,PayPal
eb397647-b19d-431e-bb06-a6254c1a3659,9.0,4.0,2024-07-27 19:02:13,6,,Cash
83ea45ee-301f-4346-8229-902c08e71424,3.0,2.0,2024-10-25 18:33:05,1,22.3,PayPal
900c3efc-ea14-4afe-9834-6de26bb55f63,1.0,4.0,2024-03-09 19:49:59,3,,PayPal
abfa0e0e-81c9-4fe4-941c-06c6891734e7,5.0,13.0,2024-10-27 16:05:17,9,5391.0,Credit Card
e870ff3f-4ac8-4be9-b37d-a0debdf1c7d5,3.0,13.0,2024-07-21 16:12:33,4,2396.0,Credit Card
a2f72b42-1430-4d2a-a511-5e7babae7d1b,9.0,6.0,2024-02-03 00:24:20,9,,Credit Card
066672ac-e21d-4c5d-8929-2347d3362536,7.0,15.0,2024-06-23 07:26:18,7,398.93,Cash
7fb3aa3e-4591-4d89-a88b-3bef05051e0a,3.0,9.0,2024-08-27 19:48:11,9,576.0,Credit Card
6e74ecdb-cae6-4926-bc13-ce8b40a647eb,10.0,18.0,2024-05-08 00:57:24,5,49.25,Credit Card
ee67174c-38ab-47f8-98fc-90cbe343796a,8.0,18.0,2024-07-14 03:54:43,1,9.85,Cash
93712c58-e992-42db-8787-abcc7f9f7622,7.0,5.0,2024-08-30 17:16:17,5,3475.0,PayPal
f2565b13-2454-4239-9589-9a8b94727003,5.0,11.0,2024-06-03 10:56:02,9,,Credit Card
61e6043c-e367-4f16-a6b8-15ca71582bc2,4.0,1.0,2024-06-15 11:26:36,5,549.75,Cash
268b6d59-0a84-401f-a590-4ca8d98f03ba,5.0,2.0,2024-03-25 19:26:23,2,44.6,PayPal
670b4557-73ed-4b9e-af14-5a978552bdae,5.0,2.0,2024-09-30 00:54:14,5,111.5,PayPal
b0e2456d-e363-41fd-9687-4a251b4f6740,3.0,2.0,2024-03-05 08:04:11,4,89.2,Credit Card
05c84e0e-de50-492c-9d60-2ba2af88106c,4.0,11.0,2024-04-19 08:23:17,4,,Credit Card
f90c7b37-c980-4538-8a3c-ba8058d53aa3,3.0,10.0,2024-05-08 14:29:34,5,545.0,PayPal
b0028541-c7c8-436a-b2eb-723e4d7cc085,7.0,11.0,2024-10-15 03:23:59,10,,Cash
9979802d-3fc3-49e9-b748-aed9f76faa99,,,2024-01-04 04:53:41,3,,Credit Card
c74f0048-5df9-4f87-8b9f-58494329ef7d,9.0,5.0,2024-10-26 02:03:52,1,695.0,PayPal
e6e1f8b3-ebd2-44b4-9846-57a783b45b93,2.0,3.0,2024-06-12 05:27:33,1,55.99,Credit Card
867280be-9e23-4c19-9cd2-64e5ee401cc6,9.0,5.0,2024-04-29 02:41:10,2,1390.0,Credit Card
393b1447-5a0f-48ab-8b93-af0fc5c82a59,7.0,14.0,2024-07-25 11:53:38,2,1999.98,PayPal
d4288b18-abec-4944-9dc0-155c2ccb4607,1.0,2.0,2024-03-16 04:15:38,2,44.6,Credit Card
27a26062-e787-4aa1-9f5f-9ce666ff7818,9.0,11.0,2024-04-13 07:26:13,3,,Credit Card
09a0f6cb-7539-4f29-92f6-a419be8b140c,3.0,16.0,2024-03-02 16:07:50,8,239.6,PayPal
ef3ecd77-0345-4bd9-bfc8-268a3915ef37,,,2024-10-25 12:16:10,8,,Credit Card
af0396c4-44d5-49d2-95f2-51e18f2f3a54,1.0,9.0,2024-05-16 23:06:42,3,192.0,Cash
4b4e00c7-86e1-46d4-8bc2-1246e07d8f33,5.0,3.0,2024-08-09 03:34:53,6,335.94,Cash
9caf0a88-11ac-4925-ae52-9d370166713b,8.0,17.0,2024-04-12 16:43:31,1,39.99,Credit Card
62193a0c-a3b2-440e-9461-bd42aa5e6ab5,2.0,2.0,2024-06-27 07:08:57,6,133.8,Credit Card
5907fc54-3d5f-490d-9ba9-fca6a6225594,6.0,11.0,2024-03-31 13:17:56,10,,PayPal
bfb04e5e-82c2-4b02-9052-35187304fd77,9.0,11.0,2024-10-05 02:12:55,6,,PayPal
b443f1a0-5b81-4e04-8854-26de72b36c44,3.0,2.0,2024-04-03 22:58:44,1,22.3,Cash
dba0d0e3-895a-446e-9164-52af90c6fd43,9.0,11.0,2024-06-06 23:00:20,6,,Credit Card
1c7340af-b008-4d7b-8833-0c5e48c46831,2.0,6.0,2024-10-16 08:10:55,2,,PayPal
312506d9-e0fb-4bab-b2df-9e59cf472140,4.0,3.0,2024-02-25 00:14:06,5,279.95,Cash
e7f8f9a5-98cd-4bf3-9f03-dd42ef81c801,6.0,2.0,2024-01-02 21:06:06,6,133.8,PayPal
601a966a-6e01-401a-856c-f1bfa2a3ca3e,3.0,1.0,2024-11-18 00:31:35,5,549.75,Cash
9ede78b7-50cb-468e-8dca-ab8ead1039e5,10.0,8.0,2024-11-06 11:33:34,3,32.97,Credit Card
534474e7-507b-4c44-b6e3-9502a7abd725,3.0,8.0,2024-07-31 19:24:48,10,109.9,PayPal
3b320512-34d1-41df-ad51-ecc2cbdc2bbd,7.0,10.0,2024-03-10 18:38:00,10,1090.0,Credit Card
b251dd02-3da8-4425-ad48-1a5afcd92eb0,10.0,19.0,2024-04-10 08:31:37,6,47.7,Cash
edcbf9ae-ec60-401c-b127-a39df1d03f15,9.0,19.0,2024-03-28 13:49:36,4,31.8,Cash
20c5cd69-6361-49cb-bb97-584447be837d,3.0,14.0,2024-10-15 21:20:30,2,1999.98,Cash
328065c2-f357-4a51-8d2f-41aefb27dc03,8.0,17.0,2024-01-27 01:37:01,4,159.96,Credit Card
9f7d1474-94b3-4fbe-a74b-4698e6b41e06,7.0,14.0,2024-01-09 12:07:21,10,9999.9,PayPal
727e6888-3e0f-4879-93e4-891fcb3cf99f,5.0,20.0,2024-09-10 11:20:33,6,77.94,Credit Card
6418db16-5c8b-48e6-a2de-1f72a57870e3,9.0,4.0,2024-08-27 14:01:48,4,,Cash
bf3cf087-1bbc-4ddb-9e40-4c4837e2f1b6,3.0,14.0,2024-04-06 18:06:46,10,9999.9,Credit Card
